numero_titulo,tipo_credor,serie,n,id_cliente,tipo_pagamento,data_emissao,vencimento,data_pagamento,valor_titulo,instituicao,situacao_titulo,codigo_credito,descricao_credito,codigo_debito,descricao_debito,data_hora_lancamento
265,2,S,1,5535,2,2025-07-03 00:00:00.000,2025-07-15 00:00:00.000,2025-07-15 00:00:00.000,200,237,3,NULL,NULL,55,FRETE S/ VENDAS,Jul  3 2025 12:00AM17:05
271,2,S,1,5543,2,2025-08-08 00:00:00.000,2025-08-20 00:00:00.000,2025-08-20 00:00:00.000,"812,56",237,3,NULL,NULL,29,COMISSAO,Aug  8 2025 12:00AM15:34
273,2,S,1,5535,2,2025-08-05 00:00:00.000,2025-08-15 00:00:00.000,2025-08-15 00:00:00.000,480,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Aug  5 2025 12:00AM15:41
284,2,S,1,5535,2,2025-09-01 00:00:00.000,2025-09-15 00:00:00.000,2025-09-15 00:00:00.000,200,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Sep  1 2025 12:00AM15:36
294,2,S,1,5535,2,2025-10-06 00:00:00.000,2025-10-15 00:00:00.000,2025-10-15 00:00:00.000,680,2,3,NULL,NULL,23,FRETE S/ COMPRAS,Oct  6 2025 12:00AM08:27
296,2,S,1,5543,2,2025-09-08 00:00:00.000,2025-09-20 00:00:00.000,2025-09-22 00:00:00.000,"649,22",237,3,NULL,NULL,29,COMISSAO,Sep  8 2025 12:00AM15:36
304,2,S,1,5535,2,2025-11-04 00:00:00.000,2025-11-15 00:00:00.000,2025-11-17 00:00:00.000,680,2,3,NULL,NULL,23,FRETE S/ COMPRAS,Nov  4 2025 12:00AM09:17
307,2,S,1,1167,2,2025-01-13 00:00:00.000,2025-01-20 00:00:00.000,2025-01-20 00:00:00.000,"1803,17",237,3,NULL,NULL,29,COMISSAO,Jan 13 2025 12:00AM09:08
309,2,S,1,1167,2,2025-02-11 00:00:00.000,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,"1948,88",237,3,NULL,NULL,29,COMISSAO,Feb 11 2025 12:00AM08:24
311,2,1,1,5789,2,2025-04-29 00:00:00.000,2025-05-30 00:00:00.000,2025-05-30 00:00:00.000,197,237,3,NULL,NULL,22,MATERIA PRIMA,Apr 29 2025 12:00AM17:12
